,Date,Symbol,High,Adj_Close,Volume,Open,Close,Low
233,2015-08-24,WFT.TO,52.299999,50.452075,366900,46.490002,50.759998,45.639999
234,2015-08-21,WFT.TO,54.040001,51.277042,372500,52.900002,51.59,51.189999
235,2015-08-20,WFT.TO,53.759998,53.115818,306500,52.139999,53.439999,50.599998
236,2015-08-19,WFT.TO,55.02,52.370367,225300,55.02,52.689999,52.490002
237,2015-08-18,WFT.TO,55.00,54.417872,208200,54.00,54.75,53.700001
238,2015-08-17,WFT.TO,55.299999,53.841389,203200,54.400002,54.169998,53.610001
239,2015-08-14,WFT.TO,54.669998,54.169389,136500,52.91,54.50,52.91
240,2015-08-13,WFT.TO,54.34,52.767942,206400,53.27,53.09,53.040001
241,2015-08-12,WFT.TO,55.209999,53.016426,249300,55.200001,53.34,53.09
242,2015-08-11,WFT.TO,56.77,55.143443,239400,56.77,55.48,54.900002
243,2015-08-10,WFT.TO,57.950001,56.664161,286300,56.66,57.009998,56.650002
244,2015-08-07,WFT.TO,57.139999,56.10756,302400,56.860001,56.450001,55.580002
245,2015-08-06,WFT.TO,58.169998,56.336165,324800,58.16,56.68,56.369999
246,2015-08-05,WFT.TO,59.360001,57.588519,402600,58.709999,57.939999,57.93
247,2015-08-04,WFT.TO,58.84,57.946336,414600,56.77,58.299999,56.689999
248,2015-07-31,WFT.TO,58.080002,57.200886,315200,56.779999,57.549999,56.689999
249,2015-07-30,WFT.TO,58.00,56.147318,248200,56.25,56.490002,56.23
250,2015-07-29,WFT.TO,57.619999,56.455436,252100,56.169998,56.799999,56.169998
251,2015-07-28,WFT.TO,57.889999,56.534952,349100,56.209999,56.880001,56.209999
252,2015-07-27,WFT.TO,57.57,56.286469,456900,57.48,56.630001,55.790001
253,2015-07-24,WFT.TO,60.48,57.89664,466300,60.48,58.25,58.080002
254,2015-07-23,WFT.TO,63.889999,59.884508,408900,63.82,60.25,60.119999
255,2015-07-22,WFT.TO,64.00,63.422913,637200,62.00,63.810001,61.50
256,2015-07-21,WFT.TO,68.580002,66.186044,177200,68.040001,66.589996,66.010002
257,2015-07-20,WFT.TO,68.75,68.243494,204100,68.040001,68.660004,67.370003
258,2015-07-17,WFT.TO,69.139999,68.342886,233500,68.860001,68.760002,68.400002
259,2015-07-16,WFT.TO,70.050003,68.571486,179900,69.50,68.989998,68.779999
260,2015-07-15,WFT.TO,70.00,68.849787,272200,69.860001,69.269997,68.669998
261,2015-07-14,WFT.TO,70.07,68.979003,124000,69.010002,69.400002,68.580002
262,2015-07-13,WFT.TO,69.830002,69.257303,160700,67.550003,69.68,67.089996
263,2015-07-10,WFT.TO,67.580002,66.603502,197800,66.550003,67.010002,66.279999
264,2015-07-09,WFT.TO,67.980003,65.321326,199200,67.980003,65.720001,64.919998
265,2015-07-08,WFT.TO,69.150002,66.792344,184600,68.400002,67.199997,66.599998
266,2015-07-07,WFT.TO,69.150002,68.283245,177500,68.699997,68.699997,66.919998
267,2015-07-06,WFT.TO,69.32,68.313069,212600,68.790001,68.730003,67.830002
268,2015-07-03,WFT.TO,69.50,69.078395,61300,69.010002,69.50,69.010002
269,2015-07-02,WFT.TO,69.779999,68.690761,130300,68.790001,69.110001,68.07
270,2015-06-30,WFT.TO,69.00,68.21367,264100,68.010002,68.629997,67.169998
271,2015-06-29,WFT.TO,68.949997,67.309194,190000,68.279999,67.720001,67.489998
272,2015-06-26,WFT.TO,71.00,69.366636,106200,70.139999,69.790001,69.50
273,2015-06-25,WFT.TO,70.110001,69.555486,257000,68.540001,69.980003,68.25
274,2015-06-24,WFT.TO,69.550003,67.80616,182800,69.550003,68.290001,67.610001
275,2015-06-23,WFT.TO,69.510002,69.007587,188000,69.309998,69.50,68.68
276,2015-06-22,WFT.TO,69.620003,68.938083,132600,67.809998,69.43,67.75
277,2015-06-19,WFT.TO,69.419998,67.230268,367800,67.739998,67.709999,67.059998
278,2015-06-18,WFT.TO,69.599998,67.746588,164100,69.480003,68.230003,68.110001
279,2015-06-17,WFT.TO,70.00,69.047304,262500,69.830002,69.540001,68.449997
280,2015-06-16,WFT.TO,70.25,69.325319,391300,69.360001,69.82,68.510002
281,2015-06-15,WFT.TO,68.730003,68.16361,104600,68.019997,68.650002,67.410004
282,2015-06-12,WFT.TO,68.580002,67.64729,88100,68.190002,68.129997,66.529999
283,2015-06-11,WFT.TO,68.510002,67.716794,156600,67.769997,68.199997,66.599998
284,2015-06-10,WFT.TO,68.849998,67.696939,260100,66.400002,68.18,66.160004
285,2015-06-09,WFT.TO,66.540001,65.949407,193700,65.410004,66.419998,65.209999
286,2015-06-08,WFT.TO,67.800003,65.016072,173200,67.510002,65.480003,64.82
287,2015-06-05,WFT.TO,68.349998,67.399062,164400,67.980003,67.879997,67.089996
288,2015-06-04,WFT.TO,68.860001,67.498359,198100,67.419998,67.980003,67.010002
289,2015-06-03,WFT.TO,68.720001,67.170696,247100,68.690002,67.650002,67.400002
290,2015-06-02,WFT.TO,68.830002,67.607573,98700,68.739998,68.089996,67.800003
291,2015-06-01,WFT.TO,69.529999,68.481343,173700,68.599998,68.970001,67.959999
292,2015-05-29,WFT.TO,69.970001,68.094107,180100,69.639999,68.580002,68.389999
293,2015-05-28,WFT.TO,70.00,68.81893,393400,68.849998,69.309998,68.690002
294,2015-05-27,WFT.TO,69.82,68.372122,140900,69.32,68.860001,68.629997
